map_details,youtube_video_link
"('BAO TAO, the boba bar', 8.5489367, 76.8767883)",https://www.youtube.com/embed/52s_GpIvcG4
"('Hotel Aattutheeram', 8.4445716, 77.2307358)",https://www.youtube.com/embed/Sot-uyo-gUY
"('Toddy Shop', 10.0966015, 76.809936)",https://www.youtube.com/embed/o1JfclOSML0
"('Mani Mess', 8.4774239, 76.944129)",https://www.youtube.com/embed/nxfLayzCop8
"('BEACHWAY AZHEEKKAL TODDY SHOP 38', 9.7450735, 76.2852705)",https://www.youtube.com/embed/5HiYXtsSSZg
"('Restaurant', 8.5512884, 77.0906627)",https://www.youtube.com/embed/OPyW8m3tNW4
"('Malabar bites Food Court', 8.523225, 76.9557036)",https://www.youtube.com/embed/SuogvPezSWQ
"('Bharath Cafe, Karunagappally', 9.0777171, 76.5316261)",https://www.youtube.com/embed/S_icpnYkkH0
"(""11%C2%B044'08.6%22N 75%C2%B057'45.5%22E"", 11.7356136, 75.9624739)",https://www.youtube.com/embed/upYFE9drRUg
"('Wayanad Adventures Eco lodging,', 11.73642, 75.9056029)",https://www.youtube.com/embed/umRsjggW2oU
"('Central Juma Masjid Ernakulam', 9.9806529, 76.277701)",https://www.youtube.com/embed/dqFEFuq5ucw
"(""11%C2%B048'14.2%22N 76%C2%B000'15.2%22E"", 11.8039487, 76.0020375)",https://www.youtube.com/embed/zVU4BbAbBug
"(""Melting Heart's cakes"", 9.9175213, 76.3627142)",https://www.youtube.com/embed/1Smj5xkX6hc
"('Uri Traditional Foods', 10.7834309, 75.9383629)",https://www.youtube.com/embed/OUVdv3Mi4zM
"('Kuttanadans Restaurant %7C Naadan Food Hub', 10.0092586, 76.3167371)",https://www.youtube.com/embed/Tll16LMUlo0
"('Chechimarude Kada', 9.9960519, 76.3107649)",https://www.youtube.com/embed/9Dwv4k8SWNY
"('Pal Karma Zurmang Shedup Chokhor Ling Lingdum Monastery (Ranka Monastery)', 27.331186, 88.5790941)",https://www.youtube.com/embed/zMQkpkTdx3s
"(""1980's A Nostalgic Restaurant"", 11.6207118, 76.0889925)",https://www.youtube.com/embed/IdJTN3u92wQ
"(""Chettai's Mess"", 12.3546522, 76.6154779)",https://www.youtube.com/embed/-0Azj0WFaTk
"('The Mud Cafe', 10.0454787, 76.2598231)",https://www.youtube.com/embed/2dhfgrZdYBk
"('Cochin Canteen', 9.9554341, 76.296206)",https://www.youtube.com/embed/nWL7j9-BLmQ
"('Karthika Vanitha Hotel, near Kottakkadavu Bridge, Balathiruthi, Kerala', None, None)",https://www.youtube.com/embed/A6T4DJc9xAU
"('Indian Coffee House', 11.9358488, 79.8302503)",https://www.youtube.com/embed/D-bYFnqZxx4
"('Moorikkappu Homely food', 11.622141, 76.031606)",https://www.youtube.com/embed/FWI5JZ-H_I8
"('Dhanushkodi, Tamil Nadu', 9.1726434, 79.4210672)",https://www.youtube.com/embed/FpsxpXZ8s8Q
"(""KM mess house(Majeedkka's mess)"", 11.7329227, 76.2450267)",https://www.youtube.com/embed/EwRtFEZWRLs
"('Kurishupally', 9.5908334, 76.511135)",https://www.youtube.com/embed/I6_QyHU22cA
"('Hotel Burma Kadai', 9.6085753, 77.9377564)",https://www.youtube.com/embed/giCIJuB8K08
"('Pravasi thattukada', 8.8765524, 76.6235755)",https://www.youtube.com/embed/c_3ZULUmfcw
"('Athithi Hotel', 8.8780384, 76.5959314)",https://www.youtube.com/embed/_IsYmcUpeIw
"('Mr.GUBOT CAR CARE', 8.9011612, 76.6143791)",https://www.youtube.com/embed/IC0oFzfJWB0
"(""9%C2%B018'45.1%22N 76%C2%B026'38.3%22E"", 9.3125151, 76.4417929)",https://www.youtube.com/embed/kKhPrSDolq0
"('Mamala Toddy Shappu', 9.9489466, 76.381472)",https://www.youtube.com/embed/-qxfYVHWSsU
"(""9%C2%B057'07.7%22N 76%C2%B020'39.7%22E"", 9.9521512, 76.3421715)",https://www.youtube.com/embed/2kQOxCJcTUw
"(""Aniyettan's Cool Drinks %26 Snacks"", 10.4468199, 76.0914863)",https://www.youtube.com/embed/-razrePHqFk
"('PWD canteen', 10.5306848, 76.2199276)",https://www.youtube.com/embed/Xmtba5HVnxk
"(""8%C2%B030'01.3%22N 76%C2%B057'15.3%22E"", 8.5003732, 76.9520717)",https://www.youtube.com/embed/cf2kXm3MNak
"(""Al-Jamil's Fish Kabab %26 Chicken Barbecue (%E0%A6%86%E0%A6%B2-%E0%A6%9C%E0%A6%BE%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%B0 %E0%A6%AB%E0%A6%BF%E0%A6%B8 %E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%AC %E0%A6%93 %E0%A6%9A%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%A8 %E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%89)"", 22.8734282, 89.4914958)",https://www.youtube.com/embed/0w4CcJAd9JM
"('Mani Chettans Thattukada', 10.5375627, 76.2150939)",https://www.youtube.com/embed/nxVdENxcw1o
"('Hotel Akshayapathram', 8.4457149, 77.2253952)",https://www.youtube.com/embed/A2X7BrGGrmw
"('GP Hotel and Tea Shop', 8.5133716, 76.9740795)",https://www.youtube.com/embed/Sny5o02U6HU
"(""8%C2%B053'38.8%22N 76%C2%B040'42.4%22E"", 8.8941072, 76.6762503)",https://www.youtube.com/embed/7tntw2ectWc
"(""9%C2%B053'58.7%22N 76%C2%B016'58.2%22E"", 9.899642, 76.2806406)",https://www.youtube.com/embed/VeZsSkJMq2g
"(""9%C2%B035'20.3%22N 76%C2%B034'52.3%22E"", 9.5889773, 76.5790148)",https://www.youtube.com/embed/yTj17GsZu2A
"('Paathiraputtu seafood restaurant', 9.9992583, 76.2620041)",https://www.youtube.com/embed/9TCmjROeHAE
"('CR Biriyani', 10.9909603, 76.9546596)",https://www.youtube.com/embed/iJJOgPNbWik
"(""9%C2%B036'22.7%22N 77%C2%B010'00.1%22E"", 9.6063018, 77.1645163)",https://www.youtube.com/embed/xRwj8teEn34
"('karthiyayini kochi', 9.9474514, 76.3261032)",https://www.youtube.com/embed/qt4e3SJzK50
